	word	anim	nonanim	concr	abstr
11478	windfall_NOUN	0.1709875464439392	0.15313772857189178	0.17120978236198425	0.22300055623054504
11479	outplay_VERB	0.16378343105316162	0.1528467983007431	0.17119455337524414	0.16227972507476807
11480	poverty_NOUN	0.1931608021259308	0.149949848651886	0.17118746042251587	0.3517574667930603
11481	Sears_PROPN	0.12183459103107452	0.1857852041721344	0.17118552327156067	0.12685595452785492
11482	dynamic_ADJ	0.13231495022773745	0.1866973489522934	0.17117902636528015	0.2455954253673553
11483	impel_VERB	0.1295349895954132	0.1848112791776657	0.1711764931678772	0.3329197466373444
11484	pitfall_NOUN	0.17519646883010864	0.1691996604204178	0.17117594182491302	0.3304910361766815
11485	Better_PROPN	0.18478721380233765	0.14296291768550873	0.17117421329021454	0.13708336651325226
11486	infallibility_NOUN	0.1636371612548828	0.17307960987091064	0.17117248475551605	0.3459592163562775
11487	inglorious_ADJ	0.15766561031341553	0.17295528948307035	0.1711706817150116	0.2619785964488983
11488	unlock_VERB	0.17363442480564115	0.1787087768316269	0.17116698622703552	0.17749780416488647
11489	selected_ADJ	0.1375238597393036	0.1861015111207962	0.17116567492485046	0.1340331733226776
11490	knowingly_ADV	0.17860068380832672	0.17231781780719754	0.1711609661579132	0.2510420680046081
11491	motor_VERB	0.16522188484668732	0.20102879405021667	0.17114803194999695	0.1572975218296051
11492	high-cost_ADJ	0.17132514715194702	0.16736188530921936	0.17112275958061218	0.19780077040195465
11493	Dental_PROPN	0.1750447005033493	0.1433660089969635	0.17112180590629578	0.13400140404701233
11494	delving_NOUN	0.1567341536283493	0.17747065424919128	0.17111262679100034	0.25729018449783325
11495	Francisco_PROPN	0.1701035052537918	0.16092559695243835	0.17111147940158844	0.10197848081588744
11496	function_NOUN	0.1693066656589508	0.19298315048217773	0.17110219597816467	0.26771801710128784
11497	sinhalese_NOUN	0.16229993104934692	0.1745755672454834	0.17110052704811096	0.19145265221595764
11498	technologist_NOUN	0.17802958190441132	0.17481324076652527	0.1710997372865677	0.1849912256002426
11499	colonel_NOUN	0.18287615478038788	0.17483213543891907	0.17105606198310852	0.19198885560035706
11500	chronic_ADJ	0.2122141122817993	0.14468257129192352	0.17103593051433566	0.3114990592002869
11501	column_NOUN	0.1574936807155609	0.1909971982240677	0.1710241734981537	0.14118175208568573
11502	Greenspan_PROPN	0.15597036480903625	0.16908617317676544	0.1710071563720703	0.22590987384319305
11503	Andrea_PROPN	0.12955258786678314	0.1753057837486267	0.17099443078041074	0.1205640435218811
11504	plagiarize_VERB	0.15332549810409546	0.18369588255882266	0.1709929257631302	0.21878114342689514
11505	unusually_ADV	0.17895705997943878	0.18663950264453888	0.17099013924598694	0.2219053953886032
11506	supremacist_ADJ	0.1933448612689972	0.16464346647262573	0.17098985612392426	0.28430017828941345
11507	executor_NOUN	0.13210928440093994	0.19008566439151764	0.1709800511598587	0.20604917407035828
11508	calculation_NOUN	0.15485137701034546	0.15809057652950287	0.17097273468971252	0.24930782616138455
11509	Dorfman_PROPN	0.1829001009464264	0.1580466330051422	0.1709572821855545	0.1500890552997589
11510	intermediate_ADJ	0.16487814486026764	0.17748434841632846	0.17095516622066498	0.1592099666595459
11511	weightlift_VERB	0.1784205436706543	0.1555672138929367	0.1709461212158203	0.13931803405284882
11512	Galarza_PROPN	0.1524287760257721	0.171229287981987	0.17092426121234894	0.1446240097284317
11513	worst_ADV	0.19411644339561465	0.13338008522987366	0.17091894149780273	0.2261087894439697
11514	appreciate_VERB	0.1556037813425064	0.17341504991054535	0.1709023416042328	0.3137814402580261
11515	common_ADJ	0.16660739481449127	0.1826479732990265	0.17088976502418518	0.2546990513801575
