	word	moscow_concr	moscow_abstr	kazan_concr	kazan_abstr
14693	великороссия	0.1210729219019413	0.2166531667113304	0.14097574204206467	0.17882008403539654
14694	турнирный	0.12106109112501146	0.11747184991836547	0.14549279138445853	0.1151308424770832
14695	антиохийский	0.1210521437227726	0.2267958849668503	0.1858739137649536	0.15130824446678162
14696	тайный	0.12104922235012056	0.185464908182621	0.13937592506408691	0.16728076785802842
14697	аннотация	0.12104152739048005	0.1868410274386406	0.15304475426673889	0.1607962056994438
14698	достойный	0.12103628665208815	0.15724872350692748	0.14164612218737602	0.1652251437306404
14699	одинцово	0.12103245332837105	0.10040552765130996	0.20070819407701493	0.12532106190919876
14700	борец	0.120989840477705	0.17739073038101194	0.17079732120037078	0.1762000650167465
14701	терпимость	0.12098697423934936	0.29891026169061663	0.13682197034358978	0.26823624074459074
14702	развод	0.12098542898893355	0.17769071012735366	0.22683955132961275	0.13800038099288942
14703	переворот	0.120982176810503	0.2120124101638794	0.13321247324347496	0.15497698932886125
14704	трудно	0.1209661401808262	0.14005179852247238	0.17630164921283722	0.16263746917247773
14705	приводиться	0.12096420377492904	0.16380935460329055	0.10138282105326653	0.14321204721927644
14706	этнос	0.12096081003546715	0.2886785700917244	0.13746972978115082	0.23549455106258396
14707	юко	0.1209569312632084	0.11803540214896202	0.171122407913208	0.11147662475705147
14708	краснодарский	0.12095532715320588	0.10951685756444933	0.14851172864437104	0.1584805019199848
14709	отрасль	0.12094155922532082	0.1733105719089508	0.1416347436606884	0.19867874383926395
14710	обновляться	0.12091143056750298	0.11010496318340303	0.11787914037704468	0.10313710272312164
14711	навязывать	0.12089696750044825	0.2234034448862076	0.11767063289880753	0.18596080392599107
14712	необходимый	0.12088778540492058	0.13839306235313414	0.10226046219468116	0.17981290966272356
14713	русгидро	0.12088716253638268	0.12932872548699378	0.16566821336746215	0.13637828156352044
14714	гузик	0.1208865113556385	0.13451743572950364	0.15738819390535355	0.1344848483800888
14715	лидер	0.12088077962398527	0.15058620423078534	0.13809773847460746	0.16377076506614685
14716	представительный	0.12087908536195754	0.13066631630063058	0.1308632969856262	0.14637748897075653
14717	гибдд	0.12087710797786712	0.1508529506623745	0.20183866173028947	0.12014396488666534
14718	ординарный	0.12086969912052155	0.13889925107359885	0.13104408010840415	0.11218662932515144
14719	коген	0.1208678774535656	0.1956947520375252	0.16852735131978988	0.1606656491756439
14720	хазин	0.12085399627685547	0.18262770920991894	0.13703306913375854	0.15744842141866686
14721	неустанно	0.12082596719264985	0.17624641358852386	0.14836736768484116	0.1795620486140251
14722	запретный	0.12082407623529436	0.17558163553476333	0.14269754365086554	0.17563909143209458
14723	гпу	0.12079816237092017	0.18510519713163376	0.15321730077266693	0.14224904477596284
14724	вырастание	0.12079693153500555	0.20057439357042312	0.14722151830792427	0.16215699091553687
14725	настойчивый	0.12079474180936815	0.2095186710357666	0.195432423055172	0.18380163311958314
14726	власть	0.12079174369573592	0.24727248400449756	0.17592364847660066	0.21242404878139493
14727	сохраняться	0.12077792659401895	0.14323636069893836	0.11124980449676514	0.15364628210663794
14728	замысел	0.12077156901359558	0.23680014461278914	0.1360747329890728	0.2454092890024185
14729	литературный	0.12077128812670708	0.21206925958395004	0.1557462751865387	0.2043585985898972
14730	внимание	0.12076272442936895	0.16483206152915955	0.1340548351407051	0.15498424470424652
14731	ежемесячно	0.12075953856110573	0.11499147713184354	0.20762124359607695	0.13039670661091804
14732	сербский	0.12075006291270254	0.16366888880729674	0.1583729565143585	0.15456047356128694
14733	еркца	0.1207415781915188	0.13472092375159264	0.16515952423214916	0.1164228603243828
14734	инспектор	0.1207364283502102	0.15226060450077056	0.2141282320022583	0.12171971574425695
14735	дискутировать	0.12072983384132385	0.23007672131061555	0.1402235247194767	0.1856328681111336
14736	подразделение	0.12070767283439635	0.16948158740997316	0.18605104982852932	0.15789861232042313
14737	ленэнерго	0.12068190202116966	0.14030734598636627	0.17803629338741306	0.14078224673867226
14738	уайя	0.12067469581961633	0.1139979526400566	0.1478462778031826	0.11257307603955267
14739	подобный	0.12067287117242813	0.1834066018462181	0.11559659540653228	0.17404967844486235
14740	дая	0.12065468281507492	0.13679898232221605	0.1624949872493744	0.13819443956017494
14741	начисление	0.12063700258731842	0.15219469368457794	0.13310625478625301	0.13410755619406697
14742	избирком	0.12061222940683365	0.18762599378824235	0.18165023922920226	0.13922232910990714
14743	беседа	0.12059961929917334	0.1788337618112564	0.1893819585442543	0.18341525048017499
14744	желаемый	0.12059857100248335	0.14835848659276962	0.128958048671484	0.16567111909389495
14745	задатки	0.12059209495782852	0.20504288822412486	0.17170388847589493	0.21677640378475188
14746	коммуникация	0.12058468982577325	0.1513420410454273	0.14612915813922886	0.1825482428073883
14747	молодой	0.12058243975043295	0.13554986864328386	0.2704539895057678	0.1631321996450424
14748	одиозный	0.1205620788037777	0.22609507590532305	0.13248039782047272	0.15940139442682266
14749	барыкин	0.12054008170962335	0.12625037133693695	0.1509285055100918	0.13970145136117934
14750	хунг	0.12053381726145745	0.10933445915579797	0.14331501945853234	0.12842895314097405
14751	двукратно	0.12052964195609092	0.11710292771458625	0.1404081679880619	0.11481426507234575
14752	отвечать	0.12052958682179453	0.13957241848111152	0.14553598910570145	0.14634669274091722
14753	минниханов	0.12051842212677005	0.1415191411972046	0.17150513231754302	0.14627988785505294
14754	чрезмерно	0.12051243484020233	0.16921522617340087	0.16063499003648754	0.15484610348939895
14755	толковый	0.1205095998942852	0.1452248841524124	0.16163732558488847	0.14519856125116348
14756	разница	0.12050936594605445	0.16296609342098234	0.14291245862841606	0.1349857859313488
14757	нелегкий	0.12050814852118492	0.18096863180398945	0.18020951896905896	0.2004041776061058
14758	отделять	0.1205066367983818	0.1400580272078514	0.12787785455584527	0.13547242209315302
14759	сектор	0.12050163075327873	0.12686337977647782	0.16015134155750274	0.15543531402945518
14760	переформатировать	0.12050109803676605	0.17844595909118652	0.11278851255774497	0.1719774693250656
14761	замедленный	0.12049438655376435	0.17422395348548889	0.14974359720945354	0.1601190984249115
14762	подавлять	0.12049298733472825	0.17830735743045806	0.12560408115386962	0.15661572515964509
14763	обозначение	0.12048857733607292	0.19668394923210145	0.10821613296866417	0.15499115139245986
14764	противопоказанный	0.12048679813742638	0.13713544979691505	0.16938359886407853	0.12905903682112693
14765	гордиевский	0.12048080638051033	0.1454391174018383	0.17991695702075958	0.1477420896291733
14766	окупать	0.12047993913292886	0.1155226968228817	0.1513965420424938	0.1282684437930584
14767	гипертрофированный	0.12047902792692185	0.2361089810729027	0.14244618862867356	0.19014138877391812
14768	синхронность	0.12047435864806175	0.2798324555158615	0.1172520399093628	0.17404041737318038
14769	поделить	0.120473450422287	0.10159373804926873	0.13049968481063842	0.10381587073206902
14770	коррекция	0.12047209888696672	0.2039923921227455	0.12781517803668976	0.12828950360417365
14771	распоряжаться	0.12045838907361033	0.14554477855563164	0.18001304119825362	0.16080498248338698
14772	пропагандист	0.1204573966562748	0.2181137055158615	0.17531779855489732	0.18098761290311813
14773	гласить	0.12045307159423828	0.1614174112677574	0.1560415342450142	0.17219835966825486
14774	устный	0.1204512506723404	0.21785130649805068	0.15102770775556565	0.16159315705299376
14775	соприкосновение	0.12044467851519584	0.16377671658992768	0.14713215157389642	0.17433377206325532
14776	ставка	0.12044458687305452	0.12742157876491547	0.17341681942343712	0.12747490033507347
14777	экономист	0.12043491899967193	0.1856713578104973	0.2022285282611847	0.15361973717808725
14778	еременко	0.12039568200707434	0.1405236579477787	0.1796155422925949	0.14405540972948075
14779	потребовать	0.12039405927062034	0.13581433966755868	0.13803386092185976	0.17059639245271682
